Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Optimizer,Val Loss,Val Accuracy
1,8,1,0,4,1,0,32,1,0,9,1,0,32,0,1,5,1,2,0.10601435436755419,0.9703999757766724
1,64,1,0,4,0,1,8,1,0,8,1,0,8,1,1,5,0,2,0.0627223173931241,0.9843999743461609
1,16,1,1,5,1,0,8,0,0,0,1,1,8,0,1,1,0,1,0.1332283610239625,0.960099995136261
1,16,1,0,4,1,0,32,1,0,1,0,0,8,1,1,2,2,0,0.115470212777704,0.963699996471405
1,8,1,1,4,1,1,64,1,0,0,1,1,32,0,0,10,1,3,0.05373077170364559,0.9854999780654907
1,64,1,0,4,0,0,8,0,0,5,2,1,32,1,0,10,1,3,0.04467850027307868,0.9873999953269958
1,16,1,1,4,1,0,32,0,1,6,0,0,32,1,1,5,1,1,0.1526671065233648,0.9541000127792358
1,16,1,0,5,1,0,32,0,1,5,2,1,32,1,1,10,1,3,0.2637263439774513,0.9212999939918518
1,16,1,0,5,1,0,8,0,0,0,1,1,8,0,1,1,0,1,0.07019458556268364,0.9767000079154968
1,16,1,0,4,1,0,32,1,0,9,1,0,32,0,1,5,1,2,0.08313982001617551,0.977400004863739
1,16,1,1,5,0,0,8,0,0,5,2,0,32,1,0,10,1,3,0.22442957842871547,0.9383999705314636
1,64,1,0,4,1,0,32,1,0,9,1,0,32,1,0,10,1,3,0.06584640156859532,0.9790999889373779
1,64,1,0,4,0,1,8,1,0,8,1,0,8,1,1,5,0,2,0.06697772767990827,0.9836999773979187
1,16,1,1,5,1,0,8,1,0,0,1,1,32,0,0,10,1,3,0.0993383093059063,0.9822999835014343
1,8,1,0,4,1,0,32,1,0,9,1,0,32,0,1,5,1,2,0.10864016854763031,0.9715999960899353
1,16,1,0,4,1,0,32,1,0,9,1,0,32,0,1,5,1,2,0.08353051996156573,0.9783999919891357
1,16,1,0,4,1,0,32,1,0,1,0,0,8,1,1,2,2,0,0.06986449892856181,0.9768000245094299
1,64,1,0,0,0,1,8,1,0,8,1,0,8,1,1,5,0,2,0.06482533074766397,0.9828000068664551
1,64,1,0,4,1,0,8,0,0,5,2,1,64,1,0,10,1,3,0.04175948390699923,0.9883999824523926
1,32,1,0,4,1,0,8,0,0,0,1,1,8,0,0,0,0,1,0.055646516024135055,0.9825000166893005
1,8,1,0,4,0,1,16,0,0,8,2,0,8,1,1,5,0,2,0.06202894490920007,0.9804999828338623
1,16,0,1,4,1,0,32,1,0,9,1,0,32,0,1,5,1,2,0.419280410528183,0.8949999809265137
1,8,0,0,4,1,0,32,1,0,9,1,0,32,0,1,5,1,2,0.1410609735786915,0.965399980545044
1,16,1,0,5,1,0,8,0,0,9,1,0,32,0,1,5,1,2,0.08340783464089035,0.9778000116348267
1,16,1,1,4,1,0,32,1,0,0,1,1,32,0,0,10,0,3,0.07210752973929048,0.9797000288963318
1,8,1,1,4,1,1,16,0,0,5,2,1,32,0,0,10,1,1,0.06671052023917437,0.9850999712944031
1,16,1,0,4,1,0,32,1,0,9,1,0,32,0,1,5,1,2,0.07965170955955982,0.9775999784469604
1,16,1,0,4,1,0,32,1,0,9,1,0,32,0,1,5,1,2,0.07624099779352546,0.9782000184059143
1,64,1,0,4,0,1,8,1,0,8,1,0,8,1,1,5,1,3,0.05031835946105421,0.9861999750137329
1,64,1,0,4,0,1,8,1,0,8,1,0,8,1,1,5,0,2,0.06522143386602401,0.9836999773979187
1,64,1,0,1,0,0,32,1,0,1,0,0,8,1,1,2,2,0,0.20722514963373542,0.9430000185966492
1,64,1,0,4,0,0,32,1,0,9,1,0,32,0,1,5,1,2,0.06685833274051547,0.9804999828338623
1,64,1,0,4,1,0,32,1,0,9,1,0,32,1,0,10,1,3,0.058465388141945004,0.9818000197410583
1,8,1,0,4,1,0,32,1,0,9,1,0,32,0,1,5,1,2,0.09740794440805912,0.974399983882904
1,16,0,0,4,1,0,32,1,0,9,1,0,32,0,1,5,1,1,0.07584019819647074,0.9761999845504761
1,16,1,0,4,1,0,32,1,0,9,1,0,32,1,1,10,1,3,0.06317751307021827,0.9800000190734863
1,16,1,1,4,1,0,32,1,0,5,2,0,32,1,0,10,1,3,0.14663400074392557,0.958299994468689
1,16,1,0,4,1,0,32,1,0,9,1,0,32,1,0,10,1,3,0.0646685226937756,0.9800000190734863
1,16,1,1,4,1,1,32,1,0,0,1,1,32,1,0,5,1,3,0.199288062864542,0.9330999851226807
1,8,1,1,4,1,0,8,0,0,0,1,1,8,0,1,1,0,1,0.11955423704981803,0.9639000296592712
1,16,1,1,4,1,0,32,1,0,0,1,0,32,0,1,5,1,2,0.3098815259575844,0.9171000123023987
1,32,1,0,4,1,0,8,0,0,0,1,1,32,1,1,5,0,2,0.11787096310257912,0.965399980545044
1,64,1,0,4,0,1,8,1,0,8,1,0,8,1,1,1,0,1,0.06140261711422354,0.9815000295639038
1,16,1,0,4,1,0,32,1,0,9,1,0,32,0,1,5,1,2,0.08266383380293846,0.9753999710083008
1,8,1,0,4,1,0,32,1,0,9,1,0,32,0,1,5,1,2,0.11153939351439476,0.9700000286102295
1,16,1,0,4,1,0,32,1,0,5,2,1,32,0,0,10,1,1,0.04422950524352491,0.9876999855041504
1,16,1,0,5,1,0,32,0,1,5,2,1,32,0,1,10,1,3,0.08481246770024299,0.9779000282287598
1,16,1,1,4,1,0,8,0,0,0,1,1,8,0,1,1,0,1,0.08859740356728435,0.974399983882904
1,8,1,0,4,1,0,32,1,0,9,1,0,32,1,0,10,1,3,0.08162138155065476,0.9753999710083008
1,16,1,0,4,1,0,32,1,0,9,1,0,32,0,1,5,1,1,0.08391760310735553,0.9724000096321106
1,16,1,0,4,1,0,32,1,1,5,2,0,32,0,1,10,1,3,0.07358845762200654,0.977400004863739
1,64,1,0,4,1,0,32,1,0,5,2,1,32,0,0,10,1,1,0.05664016175605357,0.9828000068664551
1,8,1,1,4,1,0,8,0,0,0,1,1,8,0,1,1,0,1,0.1271946042738855,0.9624999761581421
1,16,1,0,4,1,0,32,1,0,9,1,0,32,1,1,10,1,3,0.06955076841888949,0.9793000221252441
