Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Optimizer,Val Loss,Val Accuracy
1,32,0,0,10,2,1,16,0,1,8,2,1,64,0,1,6,0,3,0.09052990894727408,0.9717000126838684
1,16,0,0,7,2,1,64,0,0,9,2,0,16,1,1,0,1,0,0.04455361625389196,0.98580002784729
1,8,0,1,8,1,0,64,0,0,5,1,1,32,1,1,0,1,3,0.1417874363794923,0.9571999907493591
1,16,0,1,1,1,0,64,1,0,8,1,1,8,1,0,1,2,2,0.12818186327517034,0.961899995803833
1,16,0,0,7,0,0,32,1,1,9,0,0,32,1,1,3,0,0,0.07148744674483314,0.9787999987602234
1,8,0,0,5,2,0,32,1,0,8,1,1,8,1,1,0,2,1,0.095497150818081,0.9729999899864197
1,32,1,0,2,1,1,32,0,0,0,2,0,8,1,1,9,1,3,0.0341177357550012,0.9894999861717224
1,8,1,0,5,0,0,64,0,1,6,2,0,8,1,0,6,0,3,0.08367468440160156,0.9753999710083008
1,64,1,0,4,2,0,16,1,1,2,0,1,8,0,0,10,2,3,0.04893853555328678,0.9843999743461609
1,32,0,0,0,2,1,64,0,1,0,0,0,32,1,0,9,0,1,0.0681208308310248,0.9782000184059143
1,16,0,0,0,1,1,16,0,0,1,1,0,8,1,0,8,1,2,0.07619867928363383,0.9760000109672546
1,64,0,0,8,1,1,64,0,0,10,0,0,16,1,0,5,2,0,0.04018148368820548,0.989300012588501
1,32,0,0,2,2,1,16,1,0,9,0,0,16,1,0,10,2,1,0.9885247281193733,0.8048999905586243
1,64,1,0,3,2,1,16,0,0,9,2,1,64,0,0,5,2,2,0.06602041282467544,0.9805999994277954
1,8,1,1,6,2,1,16,1,0,0,2,1,64,0,0,10,1,3,0.03682070355908945,0.9884999990463257
1,16,0,1,4,2,0,32,0,1,7,2,0,64,0,1,4,2,0,0.40596822972893715,0.8797000050544739
1,64,0,1,2,0,1,64,1,0,2,0,1,32,0,1,5,1,1,0.04839846517462283,0.9843999743461609
1,8,1,1,3,0,0,64,0,0,9,2,1,64,1,1,3,1,2,0.31206300882101057,0.9072999954223633
1,32,0,0,3,1,1,8,1,1,1,1,0,32,1,1,9,1,2,0.17237330614924432,0.9663000106811523
1,16,0,0,5,0,0,8,0,0,0,2,1,8,1,0,2,1,3,0.05073904399769381,0.9843999743461609
1,64,1,0,4,0,0,8,0,0,0,2,1,8,0,0,8,1,3,0.054757603178173304,0.9832000136375427
1,64,0,1,2,0,1,64,1,0,2,2,0,8,1,1,9,1,3,0.057888423941051585,0.9825999736785889
1,64,1,0,4,2,0,16,1,1,2,0,1,8,0,0,10,2,3,0.06489542136760429,0.9781000018119812
1,64,1,0,4,2,0,16,1,1,2,0,1,8,0,0,9,1,2,0.08213377996385098,0.9805999994277954
1,32,0,0,0,2,1,64,0,1,6,0,0,32,1,0,9,0,1,0.07179317642273382,0.9778000116348267
1,32,1,0,2,1,1,32,0,0,0,2,0,8,1,1,9,1,2,0.03842683954243548,0.9876000285148621
1,64,1,0,4,2,0,16,1,1,5,1,1,32,1,1,0,1,3,0.1831838554869406,0.9448999762535095
1,32,0,0,10,2,1,16,0,1,8,2,0,8,1,1,9,1,3,0.07739861760661006,0.9750000238418579
1,64,1,0,4,2,0,64,1,0,8,1,1,8,1,1,1,2,2,0.08188927741721272,0.9767000079154968
1,16,0,0,4,0,0,32,1,1,9,0,0,32,1,1,3,1,2,0.08681859974265099,0.9746999740600586
1,64,1,0,3,2,1,8,0,0,9,2,1,64,0,0,9,1,3,0.09330021989345551,0.9829000234603882
1,16,0,1,4,2,0,32,0,1,7,2,0,64,0,1,4,2,1,0.29478315142691136,0.913100004196167
1,16,0,0,5,0,0,8,0,0,0,2,1,8,1,1,3,0,0,0.1078812937892042,0.9685999751091003
1,32,1,0,2,0,1,64,1,0,2,0,1,32,0,1,5,1,1,0.03194829811179079,0.9886000156402588
1,64,0,0,8,1,1,64,0,0,10,0,0,16,1,0,5,2,2,0.048294511755555866,0.9884999990463257
1,64,0,0,3,2,1,16,0,0,9,0,1,64,0,0,5,2,2,0.04140031779408455,0.9860000014305115
1,32,0,0,10,2,1,16,1,0,2,2,0,32,0,1,5,1,1,0.0476988883825019,0.9847999811172485
1,16,0,0,5,0,0,8,0,0,0,2,1,8,0,0,5,0,2,0.0663829873939976,0.9807999730110168
1,32,0,0,3,1,1,8,1,1,6,1,1,8,1,1,6,2,1,0.07073293211348355,0.9769999980926514
1,32,0,0,10,2,1,16,0,1,8,2,1,64,0,1,6,0,3,0.09294156565479934,0.9710999727249146
1,32,0,0,10,1,1,16,0,1,8,2,0,8,1,1,9,1,3,0.23079083825349808,0.925000011920929
1,32,1,0,2,0,1,64,1,0,2,0,1,64,0,0,5,2,2,0.038761759257590164,0.9879000186920166
1,64,1,0,4,1,0,16,1,1,2,0,1,32,0,0,10,2,3,0.05523850815659389,0.982200026512146
1,32,0,0,10,2,1,16,1,0,2,2,0,32,0,1,5,1,1,0.12828334411749964,0.9627000093460083
1,32,0,0,0,2,0,64,0,1,6,0,0,32,1,0,9,0,1,0.06601641342272051,0.9796000123023987
1,64,1,0,4,0,0,8,0,1,2,0,1,8,0,0,9,1,2,0.07884171932190656,0.9793999791145325
1,64,1,0,4,2,0,16,1,1,2,0,1,8,0,0,9,1,2,0.08767638626247644,0.9786999821662903
1,32,1,0,1,0,1,64,1,0,2,0,1,32,0,1,5,2,3,0.032611516538631986,0.9887999892234802
1,16,0,0,5,0,0,8,0,0,10,0,0,16,1,0,5,2,2,0.10178971243724227,0.9713000059127808
1,32,0,0,0,2,1,64,0,1,6,0,0,32,1,0,9,0,2,0.3555432418882847,0.8841000199317932
1,64,1,0,4,2,0,32,0,0,0,2,0,8,1,1,9,1,2,0.07053754109364235,0.9785000085830688
1,32,1,0,4,2,0,16,1,1,2,0,1,8,0,0,9,1,2,0.07962448999881744,0.9805999994277954
1,32,0,0,8,1,1,8,1,1,2,1,1,8,1,1,6,2,3,0.19303845472931863,0.9369000196456909
1,16,0,0,4,0,0,32,1,1,9,2,0,8,1,1,9,1,2,0.10010429932847618,0.9714000225067139
1,32,0,0,0,2,1,64,0,1,6,0,0,32,1,0,9,2,2,0.2919676167398691,0.9143999814987183
1,64,1,0,4,2,0,64,1,0,8,1,1,8,1,1,9,1,2,0.20425985590219498,0.9740999937057495
1,64,1,0,3,0,0,8,0,0,0,2,1,8,0,0,8,1,3,0.05031845936495811,0.9855999946594238
1,16,0,0,5,0,0,8,0,0,0,1,1,8,1,1,6,2,1,0.0974421527438215,0.9733999967575073
1,64,0,1,2,0,1,64,1,0,6,0,0,32,1,0,9,0,1,0.13821691900864244,0.957099974155426
1,64,1,0,4,0,0,8,0,0,0,2,1,8,0,0,8,1,3,0.04914412586167455,0.9860000014305115
1,64,1,0,4,2,0,64,1,0,8,1,1,8,1,1,9,1,3,0.06749175316095352,0.984000027179718
1,64,1,0,4,2,0,16,1,1,2,0,1,8,0,0,9,1,2,0.08038666213303805,0.9815000295639038
1,64,1,0,4,1,0,16,1,0,2,0,0,64,0,0,1,2,2,0.06892694737650454,0.9797999858856201
1,32,1,0,2,0,1,64,1,0,2,0,1,64,0,0,8,0,3,0.054267811945837456,0.9828000068664551
1,16,0,0,5,0,0,8,0,0,10,0,0,16,1,1,6,2,1,0.07664860769230872,0.9753000140190125
1,64,1,1,4,2,0,32,0,0,0,2,0,8,1,1,9,1,2,0.6943483709573746,0.8220000267028809
1,32,1,0,2,0,1,64,1,0,2,0,1,64,0,0,9,1,2,0.052966924504935745,0.9865000247955322
1,32,0,0,0,2,1,64,0,1,6,0,1,8,0,0,9,1,2,0.34760895018577576,0.9197999835014343
1,32,0,0,2,0,1,64,1,0,2,0,1,64,0,0,5,2,2,0.03994552756110206,0.9861999750137329
1,32,0,0,10,1,1,16,0,1,8,0,1,8,1,0,9,1,2,0.21742045121192932,0.9592999815940857
