Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Optimizer,Val Loss,Val Accuracy
1,16,1,1,3,1,1,32,1,0,10,0,0,8,1,1,4,1,2,0.1025559596374631,0.9706000089645386
1,32,1,0,5,2,1,8,0,1,9,0,1,64,1,1,7,0,1,0.28834374443083444,0.9722999930381775
1,64,1,0,0,2,1,32,0,0,6,2,1,32,0,0,2,1,1,0.04474735560445115,0.9855999946594238
1,32,1,0,9,1,1,16,0,0,0,1,0,64,0,1,3,1,2,0.06110020868331194,0.9861000180244446
1,64,0,0,10,1,0,16,1,0,7,1,0,32,0,0,2,2,3,0.07058241943269968,0.9817000031471252
1,64,1,1,7,0,0,32,0,0,10,0,1,64,1,1,9,0,2,0.4228698073543608,0.8931999802589417
1,32,1,1,7,2,1,64,1,0,10,2,1,32,1,0,10,0,3,0.04922948979805224,0.9853000044822693
1,8,1,1,10,0,1,8,1,1,1,0,0,32,0,0,3,2,0,0.10474825484156608,0.9675999879837036
1,32,0,1,6,1,1,64,0,0,9,1,0,16,1,0,6,0,3,0.19759081876277923,0.9621000289916992
1,16,1,0,2,2,0,8,0,0,0,2,0,8,1,1,0,0,2,0.06817825052794069,0.9786999821662903
1,64,0,0,0,1,0,16,0,1,0,2,0,32,1,1,10,2,3,0.058674790601991114,0.9817000031471252
1,64,1,1,5,2,0,8,0,0,4,1,1,32,1,1,8,0,1,0.24836186052932707,0.9571999907493591
1,8,1,1,4,2,1,8,1,1,9,1,1,16,0,1,7,0,1,0.11299620263502001,0.9661999940872192
1,32,0,0,7,0,1,32,1,1,0,1,0,16,1,0,9,2,1,0.11973265166648198,0.9674000144004822
1,8,1,1,1,2,0,8,0,1,6,0,1,32,0,1,3,1,1,0.058151558363623915,0.9818000197410583
1,64,1,1,5,2,1,64,1,1,5,1,1,32,1,1,2,1,0,0.06973406844139099,0.9758999943733215
